ICD10CMCODE,DiagnosisDesc,TotalDiag,PrimaryDiag,SecondDiag
A85.2,"ARTHROPOD-BORNE VIRAL ENCEPHALITIS, UNSPECIFIED",1,,1
A85.8,OTHER SPECIFIED VIRAL ENCEPHALITIS,69,26,43
A86.,UNSPECIFIED VIRAL ENCEPHALITIS,483,241,242
A87.0,ENTEROVIRAL MENINGITIS,325,226,99
A87.2,LYMPHOCYTIC CHORIOMENINGITIS,76,36,40
A87.8,OTHER VIRAL MENINGITIS,80,32,48
A87.9,"VIRAL MENINGITIS, UNSPECIFIED",1026,648,378
A88.0,ENTEROVIRAL EXANTHEMATOUS FEVER [BOSTON EXANTHEM],3,,3
A88.1,EPIDEMIC VERTIGO,9,1,8
A88.8,OTHER SPECIFIED VIRAL INFECTIONS OF CENTRAL NERVOUS SYSTEM,5,1,4
A89.,UNSPECIFIED VIRAL INFECTION OF CENTRAL NERVOUS SYSTEM,2,,2
A90.,DENGUE FEVER [CLASSICAL DENGUE],37,17,20
A91.,DENGUE HEMORRHAGIC FEVER,5,1,4
A92.0,CHIKUNGUNYA VIRUS DISEASE,5,2,3
A92.30,"WEST NILE VIRUS INFECTION, UNSPECIFIED",56,9,47
A92.31,WEST NILE VIRUS INFECTION WITH ENCEPHALITIS,130,50,80
A92.32,WEST NILE VIRUS INFECTION WITH OTH NEUROLOGIC MANIFESTATION,28,14,14
A92.39,WEST NILE VIRUS INFECTION WITH OTHER COMPLICATIONS,10,2,8
A92.4,RIFT VALLEY FEVER,2,,2
A92.5,ZIKA VIRUS DISEASE,42,1,41
A92.9,"MOSQUITO-BORNE VIRAL FEVER, UNSPECIFIED",2,1,1
A93.2,COLORADO TICK FEVER,1,1,
A93.8,OTHER SPECIFIED ARTHROPOD-BORNE VIRAL FEVERS,10,3,7
A94.,UNSPECIFIED ARTHROPOD-BORNE VIRAL FEVER,2,,2
A95.0,SYLVATIC YELLOW FEVER,1,,1
A98.4,EBOLA VIRUS DISEASE,2,1,1
A98.5,HEMORRHAGIC FEVER WITH RENAL SYNDROME,1,,1
B00.0,ECZEMA HERPETICUM,173,119,54
B00.1,HERPESVIRAL VESICULAR DERMATITIS,2507,21,2486
B00.2,HERPESVIRAL GINGIVOSTOMATITIS AND PHARYNGOTONSILLITIS,981,107,874
B00.3,HERPESVIRAL MENINGITIS,227,146,81
B00.4,HERPESVIRAL ENCEPHALITIS,381,171,210
B00.50,"HERPESVIRAL OCULAR DISEASE, UNSPECIFIED",50,4,46
B00.51,HERPESVIRAL IRIDOCYCLITIS,17,,17
B00.52,HERPESVIRAL KERATITIS,246,14,232
B00.53,HERPESVIRAL CONJUNCTIVITIS,18,1,17
B00.59,OTHER HERPESVIRAL DISEASE OF EYE,29,7,22
B00.7,DISSEMINATED HERPESVIRAL DISEASE,70,27,43
B00.81,HERPESVIRAL HEPATITIS,16,3,13
B00.82,HERPES SIMPLEX MYELITIS,7,,7
B00.89,OTHER HERPESVIRAL INFECTION,776,23,753
B00.9,"HERPESVIRAL INFECTION, UNSPECIFIED",5754,38,5716
B01.0,VARICELLA MENINGITIS,43,23,20
B01.11,VARICELLA ENCEPHALITIS AND ENCEPHALOMYELITIS,33,20,13
B01.2,VARICELLA PNEUMONIA,17,4,13
B01.81,VARICELLA KERATITIS,1,,1
B01.89,OTHER VARICELLA COMPLICATIONS,43,13,30
B01.9,VARICELLA WITHOUT COMPLICATION,329,65,264
B02.0,ZOSTER ENCEPHALITIS,106,45,61
B02.1,ZOSTER MENINGITIS,80,53,27
B02.21,POSTHERPETIC GENICULATE GANGLIONITIS,178,62,116
B02.22,POSTHERPETIC TRIGEMINAL NEURALGIA,134,31,103
B02.23,POSTHERPETIC POLYNEUROPATHY,186,10,176
B02.24,POSTHERPETIC MYELITIS,9,5,4
B02.29,OTHER POSTHERPETIC NERVOUS SYSTEM INVOLVEMENT,2821,77,2744
B02.30,"ZOSTER OCULAR DISEASE, UNSPECIFIED",483,158,325
B02.31,ZOSTER CONJUNCTIVITIS,66,24,42
B02.32,ZOSTER IRIDOCYCLITIS,27,6,21
B02.33,ZOSTER KERATITIS,76,19,57
B02.34,ZOSTER SCLERITIS,1,,1
B02.39,OTHER HERPES ZOSTER EYE DISEASE,74,20,54
B02.7,DISSEMINATED ZOSTER,383,177,206
B02.8,ZOSTER WITH OTHER COMPLICATIONS,494,120,374
B02.9,ZOSTER WITHOUT COMPLICATIONS,5296,431,4865
B05.0,MEASLES COMPLICATED BY ENCEPHALITIS,1,,1
B05.2,MEASLES COMPLICATED BY PNEUMONIA,3,1,2
B05.89,OTHER MEASLES COMPLICATIONS,1,1,
B05.9,MEASLES WITHOUT COMPLICATION,12,1,11
B06.89,OTHER RUBELLA COMPLICATIONS,8,1,7
B06.9,RUBELLA WITHOUT COMPLICATION,123,,123
B07.0,PLANTAR WART,111,,111
B07.8,OTHER VIRAL WARTS,94,,94
B07.9,"VIRAL WART, UNSPECIFIED",289,,289
B08.02,ORF VIRUS DISEASE,3,1,2
B08.1,MOLLUSCUM CONTAGIOSUM,197,1,196
B08.20,"EXANTHEMA SUBITUM [SIXTH DISEASE], UNSPECIFIED",17,8,9
B08.21,EXANTHEMA SUBITUM [SIXTH DISEASE] DUE TO HUMAN HERPESVIRUS 6,6,1,5
B08.3,ERYTHEMA INFECTIOSUM [FIFTH DISEASE],5,1,4
B08.4,ENTEROVIRAL VESICULAR STOMATITIS WITH EXANTHEM,243,95,148
B08.5,ENTEROVIRAL VESICULAR PHARYNGITIS,145,49,96
B08.69,OTHER PARAPOXVIRUS INFECTIONS,1,,1
B08.8,OTH VIRAL INFECTIONS WITH SKIN AND MUCOUS MEMBRANE LESIONS,39,11,28
B09.,UNSP VIRAL INFECTION WITH SKIN AND MUCOUS MEMBRANE LESIONS,485,91,394
B10.01,HUMAN HERPESVIRUS 6 ENCEPHALITIS,34,17,17
B10.09,OTHER HUMAN HERPESVIRUS ENCEPHALITIS,31,14,17
B10.81,HUMAN HERPESVIRUS 6 INFECTION,113,8,105
B10.89,OTHER HUMAN HERPESVIRUS INFECTION,31,,31
B15.0,HEPATITIS A WITH HEPATIC COMA,1,,1
B15.9,HEPATITIS A WITHOUT HEPATIC COMA,855,110,745
B16.0,ACUTE HEPATITIS B WITH DELTA-AGENT WITH HEPATIC COMA,1,,1
B16.1,ACUTE HEPATITIS B WITH DELTA-AGENT WITHOUT HEPATIC COMA,1,,1
B16.2,ACUTE HEPATITIS B WITHOUT DELTA-AGENT WITH HEPATIC COMA,2,,2
B16.9,ACUTE HEPATITIS B W/O DELTA-AGENT AND WITHOUT HEPATIC COMA,244,93,151
B17.0,ACUTE DELTA-(SUPER) INFECTION OF HEPATITIS B CARRIER,1,,1
B17.10,ACUTE HEPATITIS C WITHOUT HEPATIC COMA,569,165,404
B17.11,ACUTE HEPATITIS C WITH HEPATIC COMA,13,1,12
B17.2,ACUTE HEPATITIS E,23,3,20
B17.8,OTHER SPECIFIED ACUTE VIRAL HEPATITIS,87,23,64
B17.9,"ACUTE VIRAL HEPATITIS, UNSPECIFIED",1713,344,1369
B18.0,CHRONIC VIRAL HEPATITIS B WITH DELTA-AGENT,36,,36
B18.1,CHRONIC VIRAL HEPATITIS B WITHOUT DELTA-AGENT,7519,28,7491
B18.2,CHRONIC VIRAL HEPATITIS C,35265,95,35170
B18.8,OTHER CHRONIC VIRAL HEPATITIS,27,,27
B18.9,"CHRONIC VIRAL HEPATITIS, UNSPECIFIED",175,,175
B19.0,UNSPECIFIED VIRAL HEPATITIS WITH HEPATIC COMA,6,,6
B19.10,UNSPECIFIED VIRAL HEPATITIS B WITHOUT HEPATIC COMA,4698,18,4680
B19.11,UNSPECIFIED VIRAL HEPATITIS B WITH HEPATIC COMA,7,,7
B19.20,UNSPECIFIED VIRAL HEPATITIS C WITHOUT HEPATIC COMA,33962,95,33867
B19.21,UNSPECIFIED VIRAL HEPATITIS C WITH HEPATIC COMA,76,6,70
B19.9,UNSPECIFIED VIRAL HEPATITIS WITHOUT HEPATIC COMA,265,14,251
B20.,HUMAN IMMUNODEFICIENCY VIRUS [HIV] DISEASE,13177,2484,10693
B25.0,CYTOMEGALOVIRAL PNEUMONITIS,123,9,114
B25.1,CYTOMEGALOVIRAL HEPATITIS,50,13,37
B25.2,CYTOMEGALOVIRAL PANCREATITIS,3,1,2
B25.8,OTHER CYTOMEGALOVIRAL DISEASES,909,103,806
B25.9,"CYTOMEGALOVIRAL DISEASE, UNSPECIFIED",1424,76,1348
B26.0,MUMPS ORCHITIS,1,,1
B26.1,MUMPS MENINGITIS,2,,2
B26.2,MUMPS ENCEPHALITIS,2,1,1
B26.84,MUMPS POLYNEUROPATHY,2,,2
B26.89,OTHER MUMPS COMPLICATIONS,10,3,7
B26.9,MUMPS WITHOUT COMPLICATION,31,8,23
B27.00,GAMMAHERPESVIRAL MONONUCLEOSIS WITHOUT COMPLICATION,511,127,384
B27.01,GAMMAHERPESVIRAL MONONUCLEOSIS WITH POLYNEUROPATHY,4,,4
B27.02,GAMMAHERPESVIRAL MONONUCLEOSIS WITH MENINGITIS,8,4,4
B27.09,GAMMAHERPESVIRAL MONONUCLEOSIS WITH OTHER COMPLICATIONS,128,62,66
B27.10,CYTOMEGALOVIRAL MONONUCLEOSIS WITHOUT COMPLICATIONS,16,7,9
B27.19,CYTOMEGALOVIRAL MONONUCLEOSIS WITH OTHER COMPLICATION,2,,2
B27.80,OTHER INFECTIOUS MONONUCLEOSIS WITHOUT COMPLICATION,12,7,5
B27.82,OTHER INFECTIOUS MONONUCLEOSIS WITH MENINGITIS,1,,1
B27.89,OTHER INFECTIOUS MONONUCLEOSIS WITH OTHER COMPLICATION,13,6,7
B27.90,"INFECTIOUS MONONUCLEOSIS, UNSPECIFIED WITHOUT COMPLICATION",423,138,285
B27.92,"INFECTIOUS MONONUCLEOSIS, UNSPECIFIED WITH MENINGITIS",2,1,1
B27.99,"INFECTIOUS MONONUCLEOSIS, UNSP WITH OTHER COMPLICATION",37,13,24
B30.0,KERATOCONJUNCTIVITIS DUE TO ADENOVIRUS,1,,1
B30.1,CONJUNCTIVITIS DUE TO ADENOVIRUS,15,3,12
B30.2,VIRAL PHARYNGOCONJUNCTIVITIS,1,,1
B30.3,ACUTE EPIDEMIC HEMORRHAGIC CONJUNCTIVITIS (ENTEROVIRAL),14,1,13
B30.8,OTHER VIRAL CONJUNCTIVITIS,15,2,13
B30.9,"VIRAL CONJUNCTIVITIS, UNSPECIFIED",308,6,302
B33.0,EPIDEMIC MYALGIA,12,1,11
B33.20,"VIRAL CARDITIS, UNSPECIFIED",3,,3
B33.21,VIRAL ENDOCARDITIS,1,1,
B33.22,VIRAL MYOCARDITIS,22,12,10
B33.23,VIRAL PERICARDITIS,10,5,5
B33.24,VIRAL CARDIOMYOPATHY,281,22,259
B33.3,"RETROVIRUS INFECTIONS, NOT ELSEWHERE CLASSIFIED",6,,6
B33.4,HANTAVIRUS (CARDIO)-PULMONARY SYNDROME [HPS] [HCPS],3,1,2
B33.8,OTHER SPECIFIED VIRAL DISEASES,284,34,250
B34.0,"ADENOVIRUS INFECTION, UNSPECIFIED",252,95,157
B34.1,"ENTEROVIRUS INFECTION, UNSPECIFIED",1187,149,1038
B34.2,"CORONAVIRUS INFECTION, UNSPECIFIED",240,37,203
B34.3,"PARVOVIRUS INFECTION, UNSPECIFIED",43,15,28
B34.8,OTHER VIRAL INFECTIONS OF UNSPECIFIED SITE,3874,446,3428
B34.9,"VIRAL INFECTION, UNSPECIFIED",9248,2335,6913
B35.0,TINEA BARBAE AND TINEA CAPITIS,160,6,154
B35.1,TINEA UNGUIUM,6226,6,6220
B35.2,TINEA MANUUM,44,,44
B35.3,TINEA PEDIS,4026,10,4016
B35.4,TINEA CORPORIS,1169,7,1162
B35.6,TINEA CRURIS,1815,16,1799
B35.8,OTHER DERMATOPHYTOSES,154,3,151
B35.9,"DERMATOPHYTOSIS, UNSPECIFIED",546,1,545
B36.0,PITYRIASIS VERSICOLOR,256,1,255
B36.1,TINEA NIGRA,2,,2
B36.2,WHITE PIEDRA,2,,2
B36.8,OTHER SPECIFIED SUPERFICIAL MYCOSES,365,6,359
B36.9,"SUPERFICIAL MYCOSIS, UNSPECIFIED",1228,13,1215
B37.0,CANDIDAL STOMATITIS,14303,89,14214
B37.1,PULMONARY CANDIDIASIS,1009,80,929
B37.2,CANDIDIASIS OF SKIN AND NAIL,3803,25,3778
B37.3,CANDIDIASIS OF VULVA AND VAGINA,3446,28,3418
B37.41,CANDIDAL CYSTITIS AND URETHRITIS,600,50,550
B37.42,CANDIDAL BALANITIS,139,8,131
B37.49,OTHER UROGENITAL CANDIDIASIS,7901,309,7592
B37.5,CANDIDAL MENINGITIS,26,2,24
B37.6,CANDIDAL ENDOCARDITIS,47,3,44
B37.7,CANDIDAL SEPSIS,1885,635,1250
B37.81,CANDIDAL ESOPHAGITIS,4008,437,3571
B37.82,CANDIDAL ENTERITIS,20,,20
B37.83,CANDIDAL CHEILITIS,5,,5
B37.84,CANDIDAL OTITIS EXTERNA,6,2,4
B37.89,OTHER SITES OF CANDIDIASIS,2470,17,2453
B37.9,"CANDIDIASIS, UNSPECIFIED",3847,8,3839
B38.0,ACUTE PULMONARY COCCIDIOIDOMYCOSIS,901,322,579
B38.1,CHRONIC PULMONARY COCCIDIOIDOMYCOSIS,328,42,286
B38.2,"PULMONARY COCCIDIOIDOMYCOSIS, UNSPECIFIED",1731,502,1229
B38.3,CUTANEOUS COCCIDIOIDOMYCOSIS,39,3,36
B38.4,COCCIDIOIDOMYCOSIS MENINGITIS,488,238,250
B38.7,DISSEMINATED COCCIDIOIDOMYCOSIS,614,175,439
B38.89,OTHER FORMS OF COCCIDIOIDOMYCOSIS,76,12,64
B38.9,"COCCIDIOIDOMYCOSIS, UNSPECIFIED",440,31,409
B39.0,ACUTE PULMONARY HISTOPLASMOSIS CAPSULATI,4,1,3
B39.1,CHRONIC PULMONARY HISTOPLASMOSIS CAPSULATI,16,1,15
B39.2,"PULMONARY HISTOPLASMOSIS CAPSULATI, UNSPECIFIED",54,6,48
B39.3,DISSEMINATED HISTOPLASMOSIS CAPSULATI,16,5,11
B39.4,"HISTOPLASMOSIS CAPSULATI, UNSPECIFIED",1,,1
B39.9,"HISTOPLASMOSIS, UNSPECIFIED",129,11,118
B40.0,ACUTE PULMONARY BLASTOMYCOSIS,8,,8
B40.1,CHRONIC PULMONARY BLASTOMYCOSIS,3,,3
B40.2,"PULMONARY BLASTOMYCOSIS, UNSPECIFIED",2,1,1
B40.7,DISSEMINATED BLASTOMYCOSIS,1,1,
B40.89,OTHER FORMS OF BLASTOMYCOSIS,2,,2
B40.9,"BLASTOMYCOSIS, UNSPECIFIED",6,,6
B42.1,LYMPHOCUTANEOUS SPOROTRICHOSIS,2,1,1
B42.7,DISSEMINATED SPOROTRICHOSIS,5,4,1
B42.81,CEREBRAL SPOROTRICHOSIS,1,,1
B42.82,SPOROTRICHOSIS ARTHRITIS,3,1,2
B42.89,OTHER FORMS OF SPOROTRICHOSIS,5,2,3
B42.9,"SPOROTRICHOSIS, UNSPECIFIED",6,1,5
B43.0,CUTANEOUS CHROMOMYCOSIS,2,,2
B43.2,SUBCUTANEOUS PHEOMYCOTIC ABSCESS AND CYST,5,1,4
B43.9,"CHROMOMYCOSIS, UNSPECIFIED",1,,1
B44.0,INVASIVE PULMONARY ASPERGILLOSIS,354,74,280
B44.1,OTHER PULMONARY ASPERGILLOSIS,1237,177,1060
B44.7,DISSEMINATED ASPERGILLOSIS,46,10,36
B44.81,ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS,744,56,688
B44.89,OTHER FORMS OF ASPERGILLOSIS,174,10,164
B44.9,"ASPERGILLOSIS, UNSPECIFIED",832,82,750
B45.0,PULMONARY CRYPTOCOCCOSIS,220,37,183
B45.1,CEREBRAL CRYPTOCOCCOSIS,616,165,451
B45.2,CUTANEOUS CRYPTOCOCCOSIS,3,,3
B45.3,OSSEOUS CRYPTOCOCCOSIS,2,,2
B45.7,DISSEMINATED CRYPTOCOCCOSIS,187,26,161
B45.8,OTHER FORMS OF CRYPTOCOCCOSIS,37,1,36
B45.9,"CRYPTOCOCCOSIS, UNSPECIFIED",73,1,72
B46.0,PULMONARY MUCORMYCOSIS,115,20,95
B46.1,RHINOCEREBRAL MUCORMYCOSIS,43,22,21
B46.2,GASTROINTESTINAL MUCORMYCOSIS,11,1,10
B46.3,CUTANEOUS MUCORMYCOSIS,45,4,41
B46.4,DISSEMINATED MUCORMYCOSIS,22,4,18
B46.5,"MUCORMYCOSIS, UNSPECIFIED",142,24,118
B46.8,OTHER ZYGOMYCOSES,5,,5
B46.9,"ZYGOMYCOSIS, UNSPECIFIED",8,1,7
B47.0,EUMYCETOMA,6,1,5
B47.1,ACTINOMYCETOMA,6,,6
B47.9,"MYCETOMA, UNSPECIFIED",99,5,94
B48.2,ALLESCHERIASIS,3,,3
B48.3,GEOTRICHOSIS,1,,1
B48.4,PENICILLOSIS,8,2,6
B48.8,OTHER SPECIFIED MYCOSES,969,30,939
B49.,UNSPECIFIED MYCOSIS,1909,46,1863
B50.0,PLASMODIUM FALCIPARUM MALARIA WITH CEREBRAL COMPLICATIONS,2,1,1
B50.8,OTHER SEVERE AND COMPLICATED PLASMODIUM FALCIPARUM MALARIA,9,4,5
B50.9,"PLASMODIUM FALCIPARUM MALARIA, UNSPECIFIED",34,21,13
B51.8,PLASMODIUM VIVAX MALARIA WITH OTHER COMPLICATIONS,2,1,1
B51.9,PLASMODIUM VIVAX MALARIA WITHOUT COMPLICATION,6,4,2
B52.8,PLASMODIUM MALARIAE MALARIA WITH OTHER COMPLICATIONS,1,1,
B52.9,PLASMODIUM MALARIAE MALARIA WITHOUT COMPLICATION,1,1,
B53.0,PLASMODIUM OVALE MALARIA,2,,2
B53.8,"OTHER MALARIA, NOT ELSEWHERE CLASSIFIED",2,,2
B54.,UNSPECIFIED MALARIA,30,14,16
B55.0,VISCERAL LEISHMANIASIS,2,,2
B55.1,CUTANEOUS LEISHMANIASIS,9,3,6
B55.2,MUCOCUTANEOUS LEISHMANIASIS,2,1,1
B56.9,"AFRICAN TRYPANOSOMIASIS, UNSPECIFIED",1,,1
B57.0,ACUTE CHAGAS' DISEASE WITH HEART INVOLVEMENT,3,1,2
B57.2,CHAGAS' DISEASE (CHRONIC) WITH HEART INVOLVEMENT,118,9,109
B57.30,"CHAGAS' DISEASE WITH DIGESTIVE SYSTEM INVOLVEMENT, UNSP",2,1,1
B57.31,MEGAESOPHAGUS IN CHAGAS' DISEASE,4,1,3
B57.32,MEGACOLON IN CHAGAS' DISEASE,4,2,2
B58.00,"TOXOPLASMA OCULOPATHY, UNSPECIFIED",6,,6
B58.01,TOXOPLASMA CHORIORETINITIS,10,1,9
B58.2,TOXOPLASMA MENINGOENCEPHALITIS,43,10,33
B58.3,PULMONARY TOXOPLASMOSIS,2,,2
B58.83,TOXOPLASMA TUBULO-INTERSTITIAL NEPHROPATHY,1,,1
B58.89,TOXOPLASMOSIS WITH OTHER ORGAN INVOLVEMENT,36,3,33
B58.9,"TOXOPLASMOSIS, UNSPECIFIED",103,5,98
B59.,PNEUMOCYSTOSIS,1055,125,930
B60.0,BABESIOSIS,17,2,15
B60.10,"ACANTHAMEBIASIS, UNSPECIFIED",2,1,1
B60.19,OTHER ACANTHAMEBIC DISEASE,2,,2
B60.2,NAEGLERIASIS,1,1,
B60.8,OTHER SPECIFIED PROTOZOAL DISEASES,4,,4
B64.,UNSPECIFIED PROTOZOAL DISEASE,1,1,
B65.0,SCHISTOSOMIASIS DUE TO SCHISTOSOMA HAEMATOBIUM,1,,1
B65.2,SCHISTOSOMIASIS DUE TO SCHISTOSOMA JAPONICUM,1,,1
B65.3,CERCARIAL DERMATITIS,1,1,
B65.8,OTHER SCHISTOSOMIASIS,4,2,2
B65.9,"SCHISTOSOMIASIS, UNSPECIFIED",25,1,24
B66.3,FASCIOLIASIS,7,2,5
B66.4,PARAGONIMIASIS,2,,2
B66.8,OTHER SPECIFIED FLUKE INFECTIONS,1,,1
B67.0,ECHINOCOCCUS GRANULOSUS INFECTION OF LIVER,2,1,1
B67.1,ECHINOCOCCUS GRANULOSUS INFECTION OF LUNG,2,1,1
B67.32,"ECHINOCOCCUS GRANULOSUS INFECTION, MULTIPLE SITES",3,1,2
B67.39,"ECHINOCOCCUS GRANULOSUS INFECTION, OTHER SITES",1,,1
B67.5,ECHINOCOCCUS MULTILOCULARIS INFECTION OF LIVER,2,2,
B67.8,"ECHINOCOCCOSIS, UNSPECIFIED, OF LIVER",18,5,13
B67.90,"ECHINOCOCCOSIS, UNSPECIFIED",3,,3
B67.99,OTHER ECHINOCOCCOSIS,13,3,10
B68.0,TAENIA SOLIUM TAENIASIS,1,,1
B68.9,"TAENIASIS, UNSPECIFIED",5,,5
B69.0,CYSTICERCOSIS OF CENTRAL NERVOUS SYSTEM,481,103,378
B69.1,CYSTICERCOSIS OF EYE,1,,1
B69.89,CYSTICERCOSIS OF OTHER SITES,8,,8
B69.9,"CYSTICERCOSIS, UNSPECIFIED",33,1,32
B71.9,"CESTODE INFECTION, UNSPECIFIED",6,,6
B73.1,ONCHOCERCIASIS WITHOUT EYE DISEASE,1,,1
B74.3,LOIASIS,1,,1
B74.8,OTHER FILARIASES,2,,2
B74.9,"FILARIASIS, UNSPECIFIED",10,1,9
B75.,TRICHINELLOSIS,3,,3
B76.8,OTHER HOOKWORM DISEASES,2,,2
B76.9,"HOOKWORM DISEASE, UNSPECIFIED",3,1,2
B77.81,ASCARIASIS PNEUMONIA,1,,1
B77.9,"ASCARIASIS, UNSPECIFIED",7,5,2
B78.0,INTESTINAL STRONGYLOIDIASIS,18,5,13
B78.1,CUTANEOUS STRONGYLOIDIASIS,1,,1
B78.7,DISSEMINATED STRONGYLOIDIASIS,5,2,3
B78.9,"STRONGYLOIDIASIS, UNSPECIFIED",66,1,65
B79.,TRICHURIASIS,2,,2
B80.,ENTEROBIASIS,28,,28
B81.0,ANISAKIASIS,1,,1
B81.2,TRICHOSTRONGYLIASIS,1,,1
B81.8,OTHER SPECIFIED INTESTINAL HELMINTHIASES,6,2,4
B82.0,"INTESTINAL HELMINTHIASIS, UNSPECIFIED",4,1,3
B82.9,"INTESTINAL PARASITISM, UNSPECIFIED",13,1,12
B83.0,VISCERAL LARVA MIGRANS,4,,4
B83.2,ANGIOSTRONGYLIASIS DUE TO PARASTRONGYLUS CANTONENSIS,11,3,8
B83.8,OTHER SPECIFIED HELMINTHIASES,1,,1
B83.9,"HELMINTHIASIS, UNSPECIFIED",9,1,8
B85.0,PEDICULOSIS DUE TO PEDICULUS HUMANUS CAPITIS,1197,9,1188
B85.1,PEDICULOSIS DUE TO PEDICULUS HUMANUS CORPORIS,271,5,266
B85.2,"PEDICULOSIS, UNSPECIFIED",805,3,802
B85.3,PHTHIRIASIS,23,,23
B85.4,MIXED PEDICULOSIS AND PHTHIRIASIS,36,,36
B86.,SCABIES,2771,86,2685
B87.0,CUTANEOUS MYIASIS,107,6,101
B87.1,WOUND MYIASIS,171,4,167
B87.3,NASOPHARYNGEAL MYIASIS,2,,2
B87.4,AURAL MYIASIS,8,1,7
B87.81,GENITOURINARY MYIASIS,7,,7
B87.89,MYIASIS OF OTHER SITES,18,,18
B87.9,"MYIASIS, UNSPECIFIED",92,,92
B88.0,OTHER ACARIASIS,19,,19
B88.2,OTHER ARTHROPOD INFESTATIONS,13,,13
B88.8,OTHER SPECIFIED INFESTATIONS,112,1,111
B88.9,"INFESTATION, UNSPECIFIED",25,,25
B89.,UNSPECIFIED PARASITIC DISEASE,17,3,14
B90.0,SEQUELAE OF CENTRAL NERVOUS SYSTEM TUBERCULOSIS,6,,6
B90.1,SEQUELAE OF GENITOURINARY TUBERCULOSIS,2,,2
B90.2,SEQUELAE OF TUBERCULOSIS OF BONES AND JOINTS,3,,3
B90.8,SEQUELAE OF TUBERCULOSIS OF OTHER ORGANS,6,,6
B90.9,SEQUELAE OF RESPIRATORY AND UNSPECIFIED TUBERCULOSIS,48,,48
B91.,SEQUELAE OF POLIOMYELITIS,718,2,716
B92.,SEQUELAE OF LEPROSY,3,,3
B94.1,SEQUELAE OF VIRAL ENCEPHALITIS,78,2,76
B94.2,SEQUELAE OF VIRAL HEPATITIS,57,,57
B94.8,SEQUELAE OF OTH INFECTIOUS AND PARASITIC DISEASES,320,3,317
B94.9,SEQUELAE OF UNSPECIFIED INFECTIOUS AND PARASITIC DISEASE,12,,12
B95.0,"STREPTOCOCCUS, GROUP A, CAUSING DISEASES CLASSD ELSWHR",2584,1,2583
B95.1,"STREPTOCOCCUS, GROUP B, CAUSING DISEASES CLASSD ELSWHR",5451,3,5448
B95.2,ENTEROCOCCUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,19727,,19727
B95.3,STREPTOCOCCUS PNEUMONIAE CAUSING DISEASES CLASSD ELSWHR,567,,567
B95.4,OTH STREPTOCOCCUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,6795,1,6794
B95.5,UNSP STREPTOCOCCUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,2503,,2503
B95.61,METHICILLIN SUSCEP STAPH INFCT CAUSING DIS CLASSD ELSWHR,17732,7,17725
B95.62,METHICILLIN RESIS STAPH INFCT CAUSING DISEASES CLASSD ELSWHR,18765,3,18762
B95.7,OTH STAPHYLOCOCCUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,5486,1,5485
B95.8,UNSP STAPHYLOCOCCUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,2148,,2148
B96.0,MYCOPLASMA PNEUMONIAE AS THE CAUSE OF DISEASES CLASSD ELSWHR,337,,337
B96.1,KLEBSIELLA PNEUMONIAE AS THE CAUSE OF DISEASES CLASSD ELSWHR,22163,1,22162
B96.20,UNSP ESCHERICHIA COLI AS THE CAUSE OF DISEASES CLASSD ELSWHR,72109,1,72108
B96.21,SHIGA TOXIN E COLI (STEC) O157 CAUSING DIS CLASSD ELSWHR,88,,88
B96.22,OTH SHIGA TOXIN E COLI (STEC) CAUSING DISEASES CLASSD ELSWHR,36,,36
B96.23,UNSP SHIGA TOXIN E COLI (STEC) CAUSING DIS CLASSD ELSWHR,81,1,80
B96.29,OTH ESCHERICHIA COLI AS THE CAUSE OF DISEASES CLASSD ELSWHR,1665,1,1664
B96.3,HEMOPHILUS INFLUENZAE AS THE CAUSE OF DISEASES CLASSD ELSWHR,569,,569
B96.4,PROTEUS (MIRABILIS) (MORGANII) CAUSING DIS CLASSD ELSWHR,10917,1,10916
B96.5,PSEUDOMONAS (MALLEI) CAUSING DISEASES CLASSD ELSWHR,15880,1,15879
B96.6,BACTEROIDES FRAGILIS AS THE CAUSE OF DISEASES CLASSD ELSWHR,915,,915
B96.7,CLOSTRIDIUM PERFRINGENS CAUSING DISEASES CLASSD ELSWHR,224,,224
B96.81,HELICOBACTER PYLORI AS THE CAUSE OF DISEASES CLASSD ELSWHR,3885,,3885
B96.82,VIBRIO VULNIFICUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,14,,14
B96.89,OTH BACTERIAL AGENTS AS THE CAUSE OF DISEASES CLASSD ELSWHR,23654,4,23650
B97.0,ADENOVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,598,4,594
B97.10,UNSP ENTEROVIRUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,2923,2,2921
B97.11,COXSACKIEVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,60,1,59
B97.12,ECHOVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,14,,14
B97.19,OTH ENTEROVIRUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,319,,319
